_id,_labels,name
148.0,:Employee,李涵
149.0,:Employee,张云
150.0,:Employee,谷贵浩
151.0,:Employee,杨志
152.0,:Employee,张宁鹤
153.0,:Employee,王凯旭
154.0,:Patent,汤圆（熊猫）
155.0,:Patent,速冻饺子上料机
156.0,:Patent,速冻食品检设备
157.0,:Patent,速冻食品翻转输送机构
158.0,:Patent,包装盒（粽享好礼）
159.0,:Patent,包装盒（铂尊）
160.0,:Patent,包装盒（金尊）
161.0,:Patent,包装盒（鸿运礼粽）
162.0,:Patent,包装盒（粽友好礼）
163.0,:Patent,包装盒（五月尚品）
164.0,:Patent,包装盒（粽情好礼）
165.0,:Patent,包装盒（三全心意）
166.0,:Patent,包装盒（浓情团圆）
167.0,:Patent,包装盒（威风藤盒）
168.0,:Patent,披萨饼底（蒸芯）
169.0,:Patent,披萨饼底（拱形）
170.0,:Patent,包装袋（状元水饺）
171.0,:Patent,包装袋（八宝饭）
172.0,:Patent,花卷分切成型装置及分切成型机
173.0,:Patent,披萨
174.0,:Patent,包装袋（魔法冰花煎饺）
175.0,:Patent,披萨
176.0,:Patent,包装袋（手抓饼）
177.0,:Patent,包装袋（椒香小酥肉）
178.0,:Patent,包装袋（动物威虎肉酱包）
179.0,:Patent,包装袋（三全糯米糕粽）
180.0,:Patent,包装袋（彩蔬水饺）
181.0,:Patent,包装袋（福字汤圆）
182.0,:Patent,包装袋（新状元水饺系列一）
183.0,:Patent,面点（老虎）
184.0,:Patent,包装袋（香糯汤圆）
185.0,:Patent,包装袋（福满过牛排）
186.0,:Patent,包装袋（三全锁鲜系列）
187.0,:Patent,包装袋（上汤小云吞）
188.0,:Patent,包装底板（潮烤汇锁鲜系列）
189.0,:Patent,包装袋（潮烤汇火锅底料）
190.0,:Patent,包装底板（潮烤汇火锅油碟）
191.0,:Patent,包装底板（潮烤汇豆制晶）
192.0,:Patent,包装袋（潮烤汇芝麻酱）
193.0,:Patent,包装底板（潮烤汇午餐肉）
194.0,:Patent,包装袋（潮烤汇牛排）
195.0,:Patent,包装带封贴（潮烤汇肉制品）
196.0,:Patent,包装袋（潮烤汇肉卷）
197.0,:Patent,一种具有防物种损坏的组合称重系统
198.0,:Patent,包装袋（牛气红豆包）
199.0,:Patent,包装封套（台式卤肉饭）
200.0,:Patent,包装封套（咖喱牛腩饭）
201.0,:Patent,包装封套（黑椒牛肉饭）
202.0,:Patent,包装袋（清真包子）
203.0,:Patent,包装封套（宫保鸡丁饭）
204.0,:Patent,包装袋（花样金鱼馄饨系列）
205.0,:Patent,包装袋（炫彩一粒双色小圆子）
206.0,:Patent,包装袋（果然多水果汤圆系列）
207.0,:Patent,一次成型的合模机构
208.0,:Patent,包装袋（火锅档系列）
209.0,:Patent,包装袋（咸肉）
210.0,:Patent,红油辣复合调味料及其制作方法
211.0,:Patent,包装袋（杭州风味发面小笼包）
212.0,:Patent,包装袋（素水饺香菇青菜）
213.0,:Patent,包装袋（素水饺青菜鸡蛋）
214.0,:Patent,包装袋（动物威）
215.0,:Patent,包装袋（腊汁肉夹馍）
216.0,:Patent,包装袋（仙芋小汤圆）
217.0,:Patent,包装袋（水果汤圆）
218.0,:Patent,一种自加热袋
219.0,:Patent,面点（小牛）
220.0,:Patent,包装袋（螺蛳）
221.0,:Patent,包装袋（虎娘）
222.0,:Patent,包装袋（熊猫）
223.0,:Patent,面点（熊猫）
224.0,:Patent,面点（蜜蜂）
225.0,:Patent,面点（乌龟）
226.0,:Patent,面点（牛牛）
227.0,:Patent,预定型制粽工艺
228.0,:Patent,一种客流量反馈器
229.0,:Patent,一种连续自动醒发塔
230.0,:Patent,速冻面点（动物团小黄鸭）
231.0,:Patent,速冻面点（动物团小象）
232.0,:Patent,速冻面点（动物团兔兔）
233.0,:Patent,速冻面点（动物团小松鼠）
234.0,:Patent,速冻面点（动物团长颈鹿）
235.0,:Patent,速冻面点（动物团小松鼠）
236.0,:Patent,包装袋（汤圆系列五）
237.0,:Patent,包装袋（汤圆系列四）
238.0,:Patent,包装袋（汤圆系列一）
239.0,:Patent,包装袋（汤圆系列三）
240.0,:Patent,包装袋（汤圆系列二）
241.0,:Patent,包装袋（三全御膳私厨四）
242.0,:Patent,包装袋（三全御膳私厨三）
243.0,:Patent,包装袋（三全御膳私厨二）
244.0,:Patent,包装袋（三全御膳私厨一）
245.0,:Patent,包装袋（虾水饺系列）
246.0,:Patent,包装袋（迷你水饺系列）
247.0,:Patent,包装袋（广式面点系列）
248.0,:Patent,包装袋（动物团系列）
249.0,:Patent,包装袋（六福汤圆）
250.0,:Patent,包装袋（汤圆系列）
251.0,:Patent,包装盒（元气宝贝牛排）
